======================================================================
IPTV 酒店源流量测试报告 (2026-03-28 07:21:32)
======================================================================
服务器 (IP:Port)             | 频道名称                 | 平均码率       | 稳定性
171.14.89.119:9901        | 存活:3 | 均值:0.6Mbps | 峰值:1.47Mbps
180.173.154.233:7777      | 存活:3 | 均值:0.91Mbps | 峰值:1.25Mbps
182.207.218.109:999       | 存活:3 | 均值:1.44Mbps | 峰值:2.35Mbps
182.91.124.224:8801       | 存活:3 | 均值:0.43Mbps | 峰值:0.96Mbps
183.223.157.33:9901       | 存活:3 | 均值:2.86Mbps | 峰值:4.67Mbps
183.239.226.235:9901      | 存活:1 | 均值:0.08Mbps | 峰值:0.09Mbps
218.13.170.98:9901        | 存活:3 | 均值:0.68Mbps | 峰值:1.24Mbps
219.137.202.224:9901      | 存活:2 | 均值:2.16Mbps | 峰值:3.62Mbps
219.137.203.226:9901      | 存活:3 | 均值:1.29Mbps | 峰值:1.98Mbps
218.104.239.114:9901      | 存活:3 | 均值:1.65Mbps | 峰值:2.7Mbps
219.144.157.62:9901       | 存活:1 | 均值:0.05Mbps | 峰值:0.06Mbps
219.140.4.193:7777        | 存活:2 | 均值:0.51Mbps | 峰值:2.47Mbps
219.145.93.74:10000       | 存活:2 | 均值:0.42Mbps | 峰值:0.78Mbps
219.146.95.58:59902       | 存活:3 | 均值:0.19Mbps | 峰值:0.27Mbps
219.159.91.10:8801        | 存活:2 | 均值:0.57Mbps | 峰值:1.06Mbps
221.232.196.72:7777       | 存活:1 | 均值:2.47Mbps | 峰值:7.77Mbps
221.232.196.95:7777       | 存活:1 | 均值:2.13Mbps | 峰值:4.67Mbps
221.232.197.101:7777      | 存活:1 | 均值:2.7Mbps | 峰值:5.6Mbps
221.232.197.218:7777      | 存活:1 | 均值:2.47Mbps | 峰值:4.51Mbps
221.7.175.127:9901        | 存活:3 | 均值:0.09Mbps | 峰值:0.14Mbps
222.136.102.228:9901      | 存活:3 | 均值:0.57Mbps | 峰值:0.82Mbps
222.214.208.34:59901      | 存活:3 | 均值:5.66Mbps | 峰值:9.13Mbps
222.86.15.171:9999        | 存活:3 | 均值:0.03Mbps | 峰值:0.04Mbps
223.14.160.46:9901        | 存活:3 | 均值:3.05Mbps | 峰值:5.1Mbps
36.136.38.87:9901         | 存活:3 | 均值:3.23Mbps | 峰值:4.7Mbps
39.164.164.132:9901       | 存活:3 | 均值:4.64Mbps | 峰值:7.91Mbps
42.225.117.174:11199      | 存活:3 | 均值:1.56Mbps | 峰值:2.41Mbps
49.234.31.101:7033        | 存活:3 | 均值:0.11Mbps | 峰值:0.2Mbps
49.87.154.246:10091       | 存活:3 | 均值:0.41Mbps | 峰值:0.59Mbps
49.234.31.101:7066        | 存活:2 | 均值:0.14Mbps | 峰值:0.19Mbps
58.245.255.38:8888        | 存活:3 | 均值:7.46Mbps | 峰值:9.98Mbps
60.187.244.84:9901        | 存活:3 | 均值:3.27Mbps | 峰值:6.73Mbps
60.187.247.10:9901        | 存活:3 | 均值:2.21Mbps | 峰值:5.6Mbps
61.136.172.236:9901       | 存活:3 | 均值:0.08Mbps | 峰值:0.13Mbps
61.185.200.103:9901       | 存活:3 | 均值:1.09Mbps | 峰值:1.81Mbps
61.185.200.6:9902         | 存活:3 | 均值:0.24Mbps | 峰值:0.29Mbps
shlt.sohu.blog:9901       | 存活:3 | 均值:1.28Mbps | 峰值:1.61Mbps
shuangyashan.coccc.online:65000 | 存活:3 | 均值:0.74Mbps | 峰值:0.89Mbps
